id,real age,predicted age,|error|
2652688,64,51,13
2652684,36,52,16
2652682,36,51,15
2652680,30,62,32
2652679,42,46,4
2652678,30,38,8
2652677,72,51,21
2652676,51,47,4
2652674,30,55,25
2652673,47,51,4
2652672,59,48,11
2652671,48,57,9
2652670,55,57,2
2652667,53,48,5
2652665,53,50,3
2652664,48,52,4
2652663,46,46,0
2652662,44,47,3
2652661,72,49,23
2652660,56,53,3
2652659,48,48,0
2652658,66,48,18
2652657,31,42,11
2652656,53,61,8
2652655,34,37,3
2652653,53,62,9
2652651,67,46,21
2652650,53,52,1
2652649,31,46,15
2652648,39,53,14
2652647,53,53,0
2652646,53,58,5
2652645,31,48,17
2652644,34,62,28
2652642,30,59,29
2652643,77,48,29
2652642,30,59,29
2652641,58,52,6
2652640,68,54,14
2652638,57,50,7
2652637,35,46,11
2652636,79,62,17
2652635,79,62,17
2652634,30,59,29
2652633,30,47,17
2652632,48,58,10
2652631,49,44,5
2652630,49,60,11
2652629,30,54,24
2652628,43,61,18
2652628,43,61,18
2652627,30,46,16
2652626,79,48,31
2652625,79,48,31
2652624,55,59,4
2652623,68,47,21
2652622,38,39,1
2652621,49,47,2
2652620,43,48,5
2652619,54,52,2
2652618,43,49,6
2652617,68,49,19
2652616,48,60,12
2652615,30,54,24
2652614,49,49,0
2652613,30,51,21
2652612,71,56,15
2652611,49,50,1
2652610,30,54,24
2652605,64,49,15
2652603,53,51,2
2652602,73,47,26
2652601,37,49,12
2652599,48,56,8
2652598,56,57,1
2652597,38,47,9
2652594,72,51,21
2652592,61,63,2
2652590,30,52,22
2652589,72,50,22
2652588,72,52,20
2652587,30,54,24
2652586,62,52,10
2652585,30,46,16
2652601,37,49,12
2652599,48,56,8
2652598,56,57,1
2652597,38,47,9
2652595,68,44,24
2652594,72,51,21
2652593,53,57,4
2652592,61,63,2
2652590,30,52,22
2652589,72,50,22
2652588,72,52,20
2652587,30,54,24
2652586,62,52,10
2652585,30,46,16
2652584,62,60,2
2652581,48,54,6
2652580,67,50,17
2652579,32,51,19
2652578,72,54,18
2652578,72,54,18
2652577,30,51,21
2652576,47,47,0
2652574,56,48,8
2652573,72,50,22
2652572,31,55,24
2652571,45,47,2
2652570,31,50,19
2652569,45,48,3
2652567,45,48,3
2652566,45,50,5
2652565,31,48,17
2652564,69,60,9
2652563,60,47,13
2652560,69,62,7
2652559,65,60,5
2652558,46,54,8
2652557,30,51,21
2652556,30,31,1
2652555,30,46,16
2652553,32,53,21
2652552,30,52,22
2652549,71,49,22
2652547,43,63,20
2652542,68,52,16
2652541,64,46,18
2652540,68,53,15
2652539,45,45,0
2652538,51,44,7
2652537,51,50,1
2652536,47,49,2
2652535,31,46,15
2652534,37,49,12
2652533,67,47,20
2652532,57,56,1
2652531,47,51,4
2652527,68,61,7
2652526,30,50,20
2652525,30,48,18
2652524,30,50,20
2652523,30,57,27
2652522,30,43,13
2652520,69,62,7
2652519,64,51,13
2652516,36,58,22
2652515,37,61,24
2652514,54,44,10
2652513,54,45,9
2652512,30,63,33
2652510,48,56,8
2652508,28,50,22
2652507,43,44,1
2652506,47,56,9
2652505,32,47,15
2652504,30,45,15
2652503,40,60,20
2652502,30,48,18
2652501,76,68,8
2652499,63,49,14
2652498,58,47,11
2652497,48,48,0
2652496,65,54,11
2652494,52,56,4
2652490,62,51,11
2652489,48,49,1
2652487,56,61,5
2652486,48,62,14
2652485,48,56,8
2652484,73,64,9
2652482,46,52,6
2652480,70,62,8
2652479,40,39,1
2652478,51,46,5
2652477,30,49,19
2652476,40,42,2
2652475,64,59,5
2652474,24,53,29
2652469,30,62,32
2652464,45,46,1
2652463,56,49,7
2652462,45,53,8
2652461,53,31,22
2652459,30,47,17
2652460,42,61,19
2652459,30,47,17
2652457,60,51,9
2652455,37,52,15
2652454,37,62,25
2652453,50,47,3
2652451,50,62,12
2652450,33,45,12
2652449,37,46,9
2652447,65,46,19
2652446,65,47,18
2652444,65,54,11
2652443,42,45,3
2652440,65,48,17
2652439,51,46,5
2652437,52,55,3
2652436,42,47,5
2652435,56,62,6
2652434,56,48,8
2652430,30,46,16
2652429,74,57,17
2652424,29,48,19
2652423,38,48,10
2652422,29,51,22
2652420,29,46,17
2652419,30,47,17
2652415,62,50,12
2652409,69,61,8
2652405,57,50,7
2652403,41,42,1
2652401,50,50,0
2652400,30,50,20
2652399,62,54,8
2652398,50,48,2
2652395,50,52,2
2652393,62,56,6
2652389,44,58,14
2652387,57,51,6
2652386,57,54,3
