id,real age,predicted age,|error|
2652688,64,61,3
2652684,36,65,29
2652682,36,61,25
2652680,30,62,32
2652679,42,56,14
2652678,30,49,19
2652677,72,65,7
2652676,51,62,11
2652674,30,60,30
2652673,47,62,15
2652672,59,60,1
2652671,48,60,12
2652670,55,62,7
2652667,53,63,10
2652665,53,62,9
2652664,48,60,12
2652663,46,55,9
2652662,44,62,18
2652661,72,64,8
2652660,56,63,7
2652659,48,28,20
2652658,66,62,4
2652657,31,60,29
2652656,53,62,9
2652655,34,53,19
2652653,53,63,10
2652651,67,53,14
2652650,53,61,8
2652649,31,57,26
2652648,39,58,19
2652647,53,60,7
2652646,53,61,8
2652645,31,59,28
2652644,34,44,10
2652642,30,63,33
2652643,77,60,17
2652642,30,63,33
2652641,58,57,1
2652640,68,64,4
2652638,57,63,6
2652637,35,56,21
2652636,79,63,16
2652635,79,63,16
2652634,30,61,31
2652633,30,55,25
2652632,48,64,16
2652631,49,63,14
2652630,49,64,15
2652629,30,60,30
2652628,43,65,22
2652628,43,65,22
2652627,30,58,28
2652626,79,51,28
2652625,79,51,28
2652624,55,61,6
2652623,68,65,3
2652622,38,56,18
2652621,49,54,5
2652620,43,56,13
2652619,54,44,10
2652618,43,66,23
2652617,68,59,9
2652616,48,64,16
2652615,30,58,28
2652614,49,64,15
2652613,30,58,28
2652612,71,61,10
2652611,49,52,3
2652610,30,63,33
2652605,64,51,13
2652603,53,51,2
2652602,73,62,11
2652601,37,61,24
2652599,48,62,14
2652598,56,59,3
2652597,38,63,25
2652594,72,64,8
2652592,61,64,3
2652590,30,60,30
2652589,72,65,7
2652588,72,62,10
2652587,30,63,33
2652586,62,60,2
2652585,30,63,33
2652601,37,61,24
2652599,48,62,14
2652598,56,59,3
2652597,38,63,25
2652595,68,54,14
2652594,72,64,8
2652593,53,65,12
2652592,61,64,3
2652590,30,60,30
2652589,72,65,7
2652588,72,62,10
2652587,30,63,33
2652586,62,60,2
2652585,30,63,33
2652584,62,62,0
2652581,48,62,14
2652580,67,64,3
2652579,32,64,32
2652578,72,66,6
2652578,72,66,6
2652577,30,60,30
2652576,47,60,13
2652574,56,64,8
2652573,72,61,11
2652572,31,46,15
2652571,45,54,9
2652570,31,25,6
2652569,45,52,7
2652567,45,53,8
2652566,45,55,10
2652565,31,44,13
2652564,69,62,7
2652563,60,63,3
2652560,69,63,6
2652559,65,50,15
2652558,46,62,16
2652557,30,55,25
2652556,30,52,22
2652555,30,55,25
2652553,32,43,11
2652552,30,59,29
2652549,71,63,8
2652547,43,59,16
2652542,68,64,4
2652541,64,57,7
2652540,68,52,16
2652539,45,62,17
2652538,51,56,5
2652537,51,47,4
2652536,47,59,12
2652535,31,26,5
2652534,37,62,25
2652533,67,56,11
2652532,57,60,3
2652531,47,64,17
2652527,68,64,4
2652526,30,49,19
2652525,30,54,24
2652524,30,54,24
2652523,30,57,27
2652522,30,22,8
2652520,69,65,4
2652519,64,65,1
2652516,36,63,27
2652515,37,61,24
2652514,54,57,3
2652513,54,62,8
2652512,30,63,33
2652510,48,61,13
2652508,28,63,35
2652507,43,61,18
2652506,47,61,14
2652505,32,55,23
2652504,30,56,26
2652503,40,65,25
2652502,30,60,30
2652501,76,64,12
2652499,63,49,14
2652498,58,57,1
2652497,48,38,10
2652496,65,61,4
2652494,52,65,13
2652490,62,62,0
2652489,48,63,15
2652487,56,56,0
2652486,48,63,15
2652485,48,63,15
2652484,73,62,11
2652482,46,61,15
2652480,70,61,9
2652479,40,53,13
2652478,51,45,6
2652477,30,66,36
2652476,40,54,14
2652475,64,58,6
2652474,24,59,35
2652469,30,66,36
2652464,45,57,12
2652463,56,64,8
2652462,45,52,7
2652461,53,59,6
2652459,30,61,31
2652460,42,63,21
2652459,30,61,31
2652457,60,66,6
2652455,37,63,26
2652454,37,52,15
2652453,50,53,3
2652451,50,64,14
2652450,33,63,30
2652449,37,52,15
2652447,65,54,11
2652446,65,56,9
2652444,65,46,19
2652443,42,62,20
2652440,65,64,1
2652439,51,49,2
2652437,52,62,10
2652436,42,62,20
2652435,56,64,8
2652434,56,44,12
2652430,30,57,27
2652429,74,64,10
2652424,29,65,36
2652423,38,54,16
2652422,29,50,21
2652420,29,63,34
2652419,30,64,34
2652415,62,63,1
2652409,69,61,8
2652405,57,60,3
2652403,41,55,14
2652401,50,54,4
2652400,30,64,34
2652399,62,60,2
2652398,50,64,14
2652395,50,61,11
2652393,62,57,5
2652389,44,58,14
2652387,57,56,1
2652386,57,64,7
2652385,30,54,24
2652384,57,56,1
2652383,24,45,21
2652382,62,57,5
2652381,24,47,23
2652380,72,44,28
2652379,37,57,20
2652378,46,54,8
2652377,48,59,11
2652376,62,59,3
2652374,22,65,43
2652372,29,51,22
2652370,45,54,9
2652369,62,61,1
2652368,56,64,8
2652367,78,65,13
2652366,50,64,14
2652365,50,62,12
2652363,50,64,14
