id,real age,predicted age,|error|
2652688,64,83,19
2652684,36,84,48
2652682,36,83,47
2652680,30,94,64
2652679,42,71,29
2652678,30,51,21
2652677,72,79,7
2652676,51,80,29
2652674,30,88,58
2652673,47,88,41
2652672,59,84,25
2652671,48,91,43
2652670,55,84,29
2652667,53,83,30
2652665,53,76,23
2652664,48,88,40
2652663,46,74,28
2652662,44,85,41
2652661,72,80,8
2652660,56,82,26
2652659,48,38,10
2652658,66,83,17
2652657,31,83,52
2652656,53,88,35
2652655,34,48,14
2652653,53,87,34
2652651,67,77,10
2652650,53,84,31
2652649,31,78,47
2652648,39,68,29
2652647,53,78,25
2652646,53,86,33
2652645,31,71,40
2652644,34,79,45
2652642,30,84,54
2652643,77,87,10
2652642,30,84,54
2652641,58,82,24
2652640,68,82,14
2652638,57,84,27
2652637,35,70,35
2652636,79,89,10
2652635,79,89,10
2652634,30,79,49
2652633,30,66,36
2652632,48,87,39
2652631,49,82,33
2652630,49,84,35
2652629,30,90,60
2652628,43,84,41
2652628,43,84,41
2652627,30,72,42
2652626,79,73,6
2652625,79,73,6
2652624,55,82,27
2652623,68,76,8
2652622,38,61,23
2652621,49,60,11
2652620,43,74,31
2652619,54,46,8
2652618,43,79,36
2652617,68,72,4
2652616,48,89,41
2652615,30,75,45
2652614,49,84,35
2652613,30,73,43
2652612,71,85,14
2652611,49,62,13
2652610,30,78,48
2652605,64,67,3
2652603,53,60,7
2652602,73,89,16
2652601,37,94,57
2652599,48,89,41
2652598,56,77,21
2652597,38,67,29
2652594,72,81,9
2652592,61,89,28
2652590,30,79,49
2652589,72,80,8
2652588,72,84,12
2652587,30,83,53
2652586,62,87,25
2652585,30,84,54
2652601,37,94,57
2652599,48,89,41
2652598,56,77,21
2652597,38,67,29
2652595,68,76,8
2652594,72,81,9
2652593,53,81,28
2652592,61,89,28
2652590,30,79,49
2652589,72,80,8
2652588,72,84,12
2652587,30,83,53
2652586,62,87,25
2652585,30,84,54
2652584,62,91,29
2652581,48,92,44
2652580,67,90,23
2652579,32,70,38
2652578,72,83,11
2652578,72,83,11
2652577,30,76,46
2652576,47,86,39
2652574,56,80,24
2652573,72,81,9
2652572,31,61,30
2652571,45,67,22
2652570,31,45,14
2652569,45,75,30
2652567,45,76,31
2652566,45,81,36
2652565,31,62,31
2652564,69,86,17
2652563,60,80,20
2652560,69,89,20
2652559,65,88,23
2652558,46,83,37
2652557,30,78,48
2652556,30,59,29
2652555,30,73,43
2652553,32,54,22
2652552,30,71,41
2652549,71,80,9
2652547,43,82,39
2652542,68,87,19
2652541,64,67,3
2652540,68,83,15
2652539,45,81,36
2652538,51,74,23
2652537,51,59,8
2652536,47,66,19
2652535,31,47,16
2652534,37,93,56
2652533,67,73,6
2652532,57,92,35
2652531,47,82,35
2652527,68,85,17
2652526,30,68,38
2652525,30,67,37
2652524,30,63,33
2652523,30,80,50
2652522,30,41,11
2652520,69,87,18
2652519,64,84,20
2652516,36,87,51
2652515,37,99,62
2652514,54,77,23
2652513,54,78,24
2652512,30,84,54
2652510,48,93,45
2652508,28,92,64
2652507,43,79,36
2652506,47,83,36
2652505,32,74,42
2652504,30,76,46
2652503,40,83,43
2652502,30,80,50
2652501,76,92,16
2652499,63,65,2
2652498,58,71,13
2652497,48,41,7
2652496,65,91,26
2652494,52,85,33
2652490,62,83,21
2652489,48,86,38
2652487,56,79,23
2652486,48,92,44
2652485,48,91,43
2652484,73,88,15
2652482,46,84,38
2652480,70,86,16
2652479,40,67,27
2652478,51,54,3
2652477,30,87,57
2652476,40,74,34
2652475,64,89,25
2652474,24,92,68
2652469,30,85,55
2652464,45,73,28
2652463,56,87,31
2652462,45,73,28
2652461,53,95,42
2652459,30,83,53
2652460,42,85,43
2652459,30,83,53
2652457,60,77,17
2652455,37,74,37
2652454,37,79,42
2652453,50,73,23
2652451,50,87,37
2652450,33,74,41
2652449,37,72,35
2652447,65,59,6
2652446,65,53,12
2652444,65,60,5
2652443,42,74,32
2652440,65,83,18
2652439,51,50,1
2652437,52,91,39
2652436,42,76,34
2652435,56,86,30
2652434,56,44,12
2652430,30,68,38
2652429,74,84,10
2652424,29,72,43
2652423,38,78,40
2652422,29,50,21
2652420,29,77,48
2652419,30,79,49
2652415,62,90,28
2652409,69,87,18
2652405,57,89,32
2652403,41,72,31
2652401,50,82,32
2652400,30,85,55
2652399,62,89,27
2652398,50,79,29
2652395,50,82,32
2652393,62,83,21
2652389,44,87,43
2652387,57,85,28
2652386,57,86,29
2652385,30,57,27
2652384,57,84,27
2652383,24,41,17
2652382,62,77,15
2652381,24,49,25
2652380,72,37,35
2652379,37,67,30
2652378,46,75,29
2652377,48,83,35
2652376,62,81,19
2652374,22,72,50
2652372,29,77,48
2652370,45,80,35
2652369,62,88,26
2652368,56,83,27
2652367,78,92,14
2652366,50,86,36
2652365,50,80,30
2652363,50,82,32
2652362,29,81,52
2652361,62,74,12
2652360,54,90,36
2652359,78,89,11
2652358,65,83,18
2652357,61,82,21
2652356,38,82,44
2652355,41,90,49
2652354,41,94,53
2652353,41,88,47
2652352,41,82,41
2652351,41,65,24
2652350,41,85,44
2652349,41,88,47
2652348,41,84,43
2652346,41,87,46
2652345,36,82,46
2652343,36,86,50
2652342,36,87,51
2652341,36,81,45
2652339,56,81,25
2652336,48,91,43
2652333,48,88,40
2652332,37,93,56
2652329,50,81,31
2652327,48,92,44
2652326,48,92,44
2652325,48,91,43
2652324,48,87,39
2652323,48,90,42
2652322,48,91,43
2652321,48,91,43
2652320,48,93,45
2652319,48,92,44
2652318,48,89,41
2652317,48,89,41
2652316,43,89,46
2652315,48,91,43
2652314,48,91,43
2652313,48,92,44
2652312,50,86,36
2652311,48,91,43
2652310,48,89,41
2652309,48,92,44
2652306,41,90,49
2652305,50,85,35
2652304,41,83,42
2652303,40,65,25
2652302,59,91,32
2652301,41,86,45
2652299,41,85,44
2652298,41,88,47
2652296,50,86,36
2652295,41,84,43
2652294,41,87,46
2652293,59,92,33
2652292,30,87,57
2652291,55,90,35
2652290,59,100,41
2652288,55,91,36
2652287,30,87,57
2652286,59,88,29
2652283,17,86,69
2652284,56,87,31
2652282,50,81,31
2652278,35,47,12
2652277,16,93,77
2652276,35,35,0
2652275,50,87,37
2652274,35,58,23
2652273,35,34,1
2652272,48,94,46
2652271,30,79,49
2652270,30,91,61
2652269,48,90,42
2652268,75,92,17
2652267,53,84,31
2652266,58,88,30
2652264,53,76,23
2652263,37,92,55
2652262,21,74,53
2652258,50,86,36
2652255,48,80,32
2652253,75,88,13
2652249,50,84,34
2652247,56,83,27
2652242,54,83,29
2652241,54,83,29
2652238,54,81,27
2652237,48,91,43
2652236,54,78,24
2652235,50,84,34
2652234,72,74,2
2652233,48,91,43
2652232,47,74,27
2652231,47,90,43
2652230,28,91,63
2652229,56,80,24
2652227,30,79,49
2652225,62,86,24
2652224,48,92,44
2652223,30,62,32
2652222,48,93,45
2652221,48,80,32
2652220,30,74,44
2652219,72,71,1
2652218,72,52,20
2652217,72,78,6
2652215,30,78,48
2652214,38,82,44
2652213,47,82,35
2652212,30,79,49
2652211,75,77,2
2652210,30,85,55
2652208,48,73,25
2652206,62,89,27
2652205,47,72,25
2652205,47,72,25
2652202,30,80,50
2652201,62,75,13
2652200,51,50,1
2652198,67,84,17
2652197,62,90,28
2652196,53,67,14
2652194,53,70,17
2652193,51,86,35
2652190,67,78,11
2652189,53,71,18
2652187,53,72,19
2652186,53,76,23
2652185,37,83,46
2652183,37,82,45
2652182,37,84,47
2652181,37,31,6
2652180,37,81,44
2652179,37,85,48
2652179,37,85,48
2652178,14,31,17
2652177,37,50,13
2652174,51,63,12
2652173,53,60,7
2652172,39,59,20
2652171,53,42,11
2652170,53,74,21
2652169,46,78,32
2652168,53,90,37
2652167,67,87,20
2652165,53,98,45
2652164,51,60,9
2652163,40,77,37
2652162,67,69,2
2652160,78,96,18
2652159,51,61,10
2652158,51,69,18
2652156,61,67,6
2652154,58,86,28
2652152,52,83,31
2652151,46,86,40
2652147,42,53,11
2652146,30,79,49
2652145,63,82,19
2652144,59,93,34
2652143,51,84,33
2652142,32,84,52
2652141,45,86,41
2652140,40,89,49
2652138,80,72,8
2652137,56,90,34
2652136,63,86,23
2652134,53,91,38
2652133,30,40,10
2652132,30,13,17
2652131,59,91,32
2652130,53,66,13
2652130,53,66,13
2652129,30,82,52
2652128,47,81,34
2652127,59,64,5
2652126,47,74,27
2652125,51,70,19
2652123,60,71,11
2652122,62,84,22
2652121,59,70,11
2652120,48,88,40
2652119,56,62,6
2652118,78,88,10
2652117,50,81,31
2652116,64,93,29
2652115,58,78,20
2652114,56,86,30
2652113,78,85,7
2652112,30,78,48
2652111,30,71,41
2652109,53,70,17
2652107,47,78,31
2652106,53,75,22
2652105,37,68,31
2652104,37,70,33
2652103,53,72,19
2652102,68,75,7
2652101,42,48,6
2652099,40,79,39
2652098,30,71,41
2652097,42,48,6
2652096,30,69,39
2652095,62,92,30
2652094,63,59,4
2652092,56,89,33
2652089,37,61,24
2652088,58,93,35
2652087,37,77,40
2652085,37,68,31
2652084,37,77,40
2652083,37,78,41
2652082,37,77,40
2652081,49,92,43
2652078,45,88,43
2652076,45,78,33
2652075,30,67,37
2652074,53,87,34
2652073,37,68,31
2652071,50,83,33
2652070,49,87,38
2652068,30,73,43
2652067,46,80,34
2652066,30,89,59
2652064,49,84,35
2652063,50,87,37
2652062,53,74,21
2652061,49,84,35
2652060,56,77,21
2652059,49,79,30
2652058,62,96,34
2652057,76,86,10
2652056,49,79,30
2652055,45,89,44
2652054,49,85,36
2652053,66,87,21
2652052,67,61,6
2652050,66,76,10
2652048,67,87,20
2652047,44,84,40
2652046,59,82,23
2652045,64,91,27
2652044,59,81,22
